group1,group2,Diff,Lower,Upper,q-value,p-value
"(3, 1)","(24, 0)",2.1448,-8.788596904052492,13.078196904052492,1.1825760594498158,0.9
"(3, 1)","(17, 1)",2.7447999999999997,-8.188596904052492,13.678196904052491,1.5133974114033262,0.9
"(3, 1)","(17, 0)",1.6214666666666662,-4.773451509428277,8.016384842761608,1.5285175480509448,0.9
"(3, 1)","(28, 1)",0.0,-inf,inf,0.0,0.9
"(3, 1)","(28, 0)",1.0552000000000001,-9.87819690405249,11.988596904052493,0.5818044843022406,0.9
"(3, 1)","(23, 1)",0.0,-inf,inf,0.0,0.9
"(3, 1)","(23, 0)",3.9552000000000005,-3.8265752360626717,11.736975236062673,3.0639887205873095,0.9
"(3, 1)","(33, 1)",6.4552000000000005,-4.478196904052491,17.38859690405249,3.559196651883836,0.9
"(3, 1)","(33, 0)",0.0,-inf,inf,0.0,0.9
"(3, 1)","(30, 1)",0.5447999999999995,-10.388596904052491,11.478196904052492,0.3003857875737873,0.9
"(3, 1)","(30, 0)",0.0,-inf,inf,0.0,0.9
"(3, 1)","(37, 1)",0.0,-inf,inf,0.0,0.9
"(3, 1)","(37, 0)",2.0947999999999998,-8.838596904052492,13.028196904052491,1.1550076134536897,0.9
"(3, 1)","(21, 1)",0.24479999999999968,-10.688596904052492,11.178196904052491,0.13497511159703213,0.9
"(3, 1)","(21, 0)",0.15519999999999978,-7.626575236062672,7.936975236062672,0.12022933086446948,0.9
"(3, 1)","(16, 1)",3.7447999999999997,-7.188596904052492,14.678196904052491,2.0647663313258438,0.9
"(3, 1)","(16, 0)",0.018133333333333113,-6.37678484276161,6.413051509428276,0.01709385630580758,0.9
"(3, 1)","(10, 1)",0.1648000000000005,-5.408749569719917,5.738349569719918,0.17824720772032712,0.9
"(3, 1)","(10, 0)",0.7385333333333328,-5.65638484276161,7.1334515094282755,0.69619757410198,0.9
"(3, 1)","(45, 1)",3.5552,-7.3781969040524915,14.488596904052493,1.9602267841085346,0.9
"(3, 1)","(45, 0)",0.0,-inf,inf,0.0,0.9
"(3, 1)","(29, 1)",2.1448,-8.788596904052492,13.078196904052492,1.1825760594498158,0.9
"(3, 1)","(29, 0)",0.0,-inf,inf,0.0,0.9
"(3, 1)","(34, 1)",0.0,-inf,inf,0.0,0.9
"(3, 1)","(34, 0)",2.7447999999999997,-8.188596904052492,13.678196904052491,1.5133974114033262,0.9
"(3, 1)","(32, 1)",3.3148,-7.618596904052492,14.248196904052492,1.8276776957591614,0.9
"(3, 1)","(32, 0)",0.0,-inf,inf,0.0,0.9
"(3, 1)","(19, 1)",0.35020000000000007,-7.431575236062672,8.131975236062672,0.271290667968668,0.9
"(3, 1)","(19, 0)",4.1448,-6.788596904052492,15.078196904052492,2.285313899294851,0.9
"(3, 1)","(26, 1)",2.0947999999999998,-8.838596904052492,13.028196904052491,1.1550076134536897,0.9
"(3, 1)","(26, 0)",0.0,-inf,inf,0.0,0.9
"(3, 1)","(18, 1)",0.5948000000000002,-7.186975236062672,8.376575236062672,0.46077581184398564,0.9
"(3, 1)","(18, 0)",1.0301999999999998,-6.751575236062672,8.811975236062672,0.7980686640243337,0.9
"(3, 1)","(42, 1)",0.6551999999999998,-10.278196904052493,11.58859690405249,0.3612569163332334,0.9
"(3, 1)","(42, 0)",0.0,-inf,inf,0.0,0.9
"(3, 1)","(22, 1)",1.2302,-6.551575236062672,9.011975236062671,0.9530033687465886,0.9
"(3, 1)","(22, 0)",0.0,-inf,inf,0.0,0.9
"(3, 1)","(36, 1)",0.0,-inf,inf,0.0,0.9
"(3, 1)","(36, 0)",1.7552000000000003,-9.178196904052491,12.688596904052492,0.967762728248003,0.9
"(3, 1)","(31, 1)",1.2447999999999997,-9.688596904052492,12.178196904052491,0.6863440315195497,0.9
"(3, 1)","(31, 0)",0.0,-inf,inf,0.0,0.9
"(3, 1)","(41, 1)",1.7447999999999997,-9.188596904052492,12.678196904052491,0.9620284914808086,0.9
"(3, 1)","(41, 0)",0.0,-inf,inf,0.0,0.9
"(3, 1)","(27, 1)",0.0,-inf,inf,0.0,0.9
"(3, 1)","(27, 0)",1.1448,-9.788596904052492,12.078196904052492,0.6312071395272982,0.9
"(3, 1)","(44, 1)",4.094799999999999,-6.838596904052492,15.028196904052491,2.2577454532987247,0.9
"(3, 1)","(44, 0)",0.0,-inf,inf,0.0,0.9
"(3, 1)","(40, 1)",5.0552,-5.8781969040524915,15.988596904052493,2.7872801639923113,0.9
"(3, 1)","(40, 0)",0.0,-inf,inf,0.0,0.9
"(3, 1)","(39, 1)",0.0,-inf,inf,0.0,0.9
"(3, 1)","(39, 0)",5.1552,-5.778196904052492,16.08859690405249,2.8424170559845625,0.9
"(3, 1)","(43, 1)",0.0,-inf,inf,0.0,0.9
"(3, 1)","(43, 0)",2.9448,-7.988596904052492,13.87819690405249,1.6236711953878298,0.9
"(3, 0)","(5, 1)",0.9364040778498604,-0.8625251702974575,2.7353333259971784,3.1379542631459922,0.9
"(3, 0)","(5, 0)",0.08044253938832213,-1.8404590502427431,2.0013441290193876,0.25245155596414226,0.9
"(3, 0)","(35, 1)",0.0,-inf,inf,0.0,0.9
"(3, 0)","(35, 0)",2.135903614457832,-8.790558054577733,13.062365283493396,1.1784183592748385,0.9
"(3, 0)","(13, 1)",1.6225702811244984,-4.7604834725508,8.005624034799798,1.532400945677269,0.9
"(3, 0)","(13, 0)",1.4659036144578321,-3.5355499088480977,6.467357137763762,1.7668780444200036,0.9
"(3, 0)","(6, 1)",0.42195352839931033,-2.7161101546934896,3.5600172114921103,0.8105881787775077,0.9
"(3, 0)","(6, 0)",0.9263186077643901,-2.885327418312788,4.737964633841568,1.4650256268208164,0.9
"(3, 0)","(14, 1)",1.0207630522088351,-5.362290701466463,7.403816805884134,0.9640372960813605,0.9
"(3, 0)","(14, 0)",1.6709036144578318,-6.101124600104768,9.442931829020432,1.2960281238129656,0.9
