,group1,group2,Diff,Lower,Upper,q-value,p-value,df_num,dv_num,iv,ds_name,dv_name
107,62.0,30.0,1.7622916666666661,-2.0003809145159006,5.524964247849233,2.7142435650953325,0.9,1,1,breed_n,df,wt_kg
108,62.0,13.0,3.8622916666666662,-4.227578208362406,11.952161541695737,2.766756818970849,0.9,1,1,breed_n,df,wt_kg
109,62.0,29.0,2.762291666666666,-5.3275782083624055,10.852161541695738,1.978770627473676,0.9,1,1,breed_n,df,wt_kg
110,62.0,36.0,0.4622916666666663,-7.627578208362405,8.552161541695739,0.3311631361614062,0.9,1,1,breed_n,df,wt_kg
111,62.0,57.0,1.312291666666666,-6.777578208362406,9.402161541695737,0.9400615568637666,0.9,1,1,breed_n,df,wt_kg
112,62.0,8.0,4.512291666666666,-3.5775782083624055,12.602161541695738,3.23238502303736,0.9,1,1,breed_n,df,wt_kg
113,62.0,41.0,0.3789583333333333,-4.3860970941305535,5.14401376079722,0.46088329053109833,0.9,1,1,breed_n,df,wt_kg
114,62.0,4.0,2.0022916666666664,-6.087578208362405,10.092161541695738,1.434343804257448,0.9,1,1,breed_n,df,wt_kg
115,62.0,23.0,0.012291666666667034,-5.766186815496956,5.7907701488302905,0.012327208223043257,0.9,1,1,breed_n,df,wt_kg
116,62.0,37.0,2.262291666666666,-5.8275782083624055,10.352161541695738,1.620595085884052,0.9,1,1,breed_n,df,wt_kg
117,62.0,50.0,5.237708333333333,-2.8521615416957387,13.327578208362404,3.7520380379603058,0.9,1,1,breed_n,df,wt_kg
118,62.0,60.0,4.137708333333333,-3.9521615416957383,12.227578208362406,2.9640518464631334,0.9,1,1,breed_n,df,wt_kg
119,62.0,32.0,5.337708333333334,-2.7521615416957372,13.427578208362405,3.8236731462782316,0.8889590235695486,1,1,breed_n,df,wt_kg
120,53.0,35.0,2.024781081081082,0.7969945098605509,3.2525676523016127,9.557023484919146,0.001,1,1,breed_n,df,wt_kg
121,53.0,61.0,2.2911019607843137,1.3136716046108978,3.26853231695773,13.583949305816844,0.001,1,1,breed_n,df,wt_kg
122,53.0,16.0,2.347658333333334,0.9416938375957573,3.7536228290709106,9.676716024577154,0.001,1,1,breed_n,df,wt_kg
123,53.0,40.0,0.2553000000000001,-2.400286531396873,2.9108865313968733,0.5571316301690712,0.9,1,1,breed_n,df,wt_kg
124,53.0,58.0,1.7268578947368418,0.20100783284755352,3.2527079566261303,6.558615918331742,0.00578386960505739,1,1,breed_n,df,wt_kg
125,53.0,38.0,0.3751235294117654,-0.67962921009318,1.4298762689167108,2.0610622163219117,0.9,1,1,breed_n,df,wt_kg
126,53.0,22.0,1.1537999999999986,-2.928931210055219,5.236531210055216,1.6377484756364138,0.9,1,1,breed_n,df,wt_kg
127,53.0,11.0,2.2637,-2.4279121221357824,6.9553121221357825,2.796174231477982,0.9,1,1,breed_n,df,wt_kg
128,53.0,39.0,1.0237000000000007,-2.6455200848343026,4.692920084834304,1.616837595899068,0.9,1,1,breed_n,df,wt_kg
129,53.0,47.0,2.7920746478873246,1.549469937480019,4.03467935829463,13.021514163181836,0.001,1,1,breed_n,df,wt_kg
130,53.0,5.0,4.6329666666666665,1.2675299992271407,7.998403334106192,7.9778379665008305,0.001,1,1,breed_n,df,wt_kg
131,53.0,21.0,4.7163,-3.330529541668648,12.763129541668649,3.3965974464602664,0.9,1,1,breed_n,df,wt_kg
132,53.0,20.0,0.004687096774193655,-1.6412715344654059,1.6506457280137932,0.016502603408039798,0.9,1,1,breed_n,df,wt_kg
133,53.0,33.0,3.5162999999999993,-2.201766512956665,9.234366512956663,3.563724935666852,0.9,1,1,breed_n,df,wt_kg
134,53.0,46.0,0.7363,-2.9329200848343033,4.405520084834303,1.1629164031068504,0.9,1,1,breed_n,df,wt_kg
135,53.0,19.0,4.144871428571429,1.0144199003045231,7.275322956838336,7.6731120097458545,0.001,1,1,breed_n,df,wt_kg
136,53.0,10.0,3.956299999999999,-4.09052954166865,12.003129541668647,2.8492586301615135,0.9,1,1,breed_n,df,wt_kg
137,53.0,55.0,1.517838461538461,-0.842811858230506,3.878488781307428,3.726158728055418,0.9,1,1,breed_n,df,wt_kg
138,53.0,28.0,3.7163000000000004,-4.330529541668648,11.763129541668649,2.676414793435593,0.9,1,1,breed_n,df,wt_kg
139,53.0,45.0,1.9337000000000004,-0.7218865313968728,4.589286531396874,4.219841101676196,0.6915623300673701,1,1,breed_n,df,wt_kg
140,53.0,49.0,0.6080910447761196,-0.6560191940585787,1.872201283610818,2.7877326187878038,0.9,1,1,breed_n,df,wt_kg
141,53.0,59.0,1.0663,-1.5892865313968731,3.721886531396873,2.3269465618851566,0.9,1,1,breed_n,df,wt_kg
142,53.0,31.0,0.8341571428571424,-1.4506656502003525,3.1189799359146373,2.1157424920512953,0.9,1,1,breed_n,df,wt_kg
143,53.0,52.0,0.3462000000000005,-3.736531210055217,4.428931210055218,0.49140970901831166,0.9,1,1,breed_n,df,wt_kg
144,53.0,48.0,0.3087,-5.409366512956664,6.026766512956664,0.31286348936107766,0.9,1,1,breed_n,df,wt_kg
145,53.0,65.0,2.9162999999999997,-5.130529541668649,10.963129541668648,2.1002686710158542,0.9,1,1,breed_n,df,wt_kg
